supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	known_nt	known_nt_source	side	nerve	vfb_id	fbbt_id	status
82265460326499684	720575940628518400	169368	72224	3082	169368.0	72224.0	3082.0	7136816.0	intrinsic	visual_projection				LC4				acetylcholine	0.6472406036380386	acetylcholine	Davis et al., 2020	right		fw008245	FBbt_00003874	
82195229021215994	720575940612498129	168680	73680	3030	168680.0	73680.0	3030.0	7136716.0	intrinsic	visual_projection				LC4				acetylcholine	0.5708245978004789	acetylcholine	Davis et al., 2020	right		fw008822	FBbt_00003874	
76635548542515896	720575940624111763	87032	65536	3569	87032.0	65536.0	3569.0	1894670.0	intrinsic	visual_projection				LC4				acetylcholine	0.5792923887640562	acetylcholine	Davis et al., 2020	left		fw009400	FBbt_00003874	
82335691631717162	720575940639817947	170296	69392	3068	170296.0	69392.0	3068.0	7136909.0	intrinsic	visual_projection				LC4				acetylcholine	0.6205130221966074	acetylcholine	Davis et al., 2020	right		fw009418	FBbt_00003874	
82335760351209657	720575940625932421	170576	70512	3071	170576.0	70512.0	3071.0	7136949.0	intrinsic	visual_projection				LC4				acetylcholine	0.6284955002155974	acetylcholine	Davis et al., 2020	right		fw009527	FBbt_00003874	
77409536143113930	720575940625038090	98304	64248	4554	98304.0	64248.0	4554.0	2110642.0	intrinsic	visual_projection				LC4				acetylcholine	0.5749044168548242	acetylcholine	Davis et al., 2020	left		fw009680	FBbt_00003874	
82195091582257323	720575940632715234	167912	72264	3037	167912.0	72264.0	3037.0	7136573.0	intrinsic	visual_projection				LC4				acetylcholine	0.5853316182451903	acetylcholine	Davis et al., 2020	right		fw009737	FBbt_00003874	
76494055273567401	720575940610522009	85008	54488	4188	85008.0	54488.0	4188.0	1852521.0	intrinsic	visual_projection				LC4				acetylcholine	0.6014026665803216	acetylcholine	Davis et al., 2020	left		fw003036	FBbt_00003874	
76775805128558559	720575940616713355	89892	58206	4493	82704.0	53032.0	4038.0	1849372.0	intrinsic	visual_projection				LC4				acetylcholine	0.5549588249642996	acetylcholine	Davis et al., 2020	left		fw011512	FBbt_00003874	
76423686529351606	720575940629753807	84216	54120	4175	84216.0	54120.0	4175.0	1852112.0	intrinsic	visual_projection				LC4				acetylcholine	0.5305569620992916	acetylcholine	Davis et al., 2020	left		fw012231	FBbt_00003874	
76283086413152630	720575940627519107	82440	56736	3908	82440.0	56736.0	3908.0	1848895.0	intrinsic	visual_projection				LC4				acetylcholine	0.5762975340012252	acetylcholine	Davis et al., 2020	left		fw012922	FBbt_00003874	
76917092305477754	720575940622531767	92064	66448	3846	92064.0	66448.0	3846.0	2122264.0	intrinsic	visual_projection				LC4				acetylcholine	0.506449201960657	acetylcholine	Davis et al., 2020	left		fw013996	FBbt_00003874	
76353798754381932	720575940638456227	83688	61328	3644	83688.0	61328.0	3644.0	1893403.0	intrinsic	visual_projection				LC4				acetylcholine	0.5585483468093978	acetylcholine	Davis et al., 2020	left		fw014240	FBbt_00003874	
82124585465860934	720575940636957006	167616	69296	3289	167616.0	69296.0	3289.0	7137991.0	intrinsic	visual_projection				LC4				acetylcholine	0.670872992740332	acetylcholine	Davis et al., 2020	right		fw014273	FBbt_00003874	
82195022929440684	720575940622330582	168416	70344	3221	168416.0	70344.0	3221.0	7138118.0	intrinsic	visual_projection				LC4				acetylcholine	0.6116132203512162	acetylcholine	Davis et al., 2020	right		fw014429	FBbt_00003874	
76282948974297663	720575940620903551	82536	54240	3991	82536.0	54240.0	3991.0	1849159.0	intrinsic	visual_projection				LC4				acetylcholine	0.5467347223190137	acetylcholine	Davis et al., 2020	left		fw014459	FBbt_00003874	
82054354160607730	720575940618266459	166624	71944	3264	166624.0	71944.0	3264.0	7137774.0	intrinsic	visual_projection				LC4				acetylcholine	0.6328988598690284	acetylcholine	Davis et al., 2020	right		fw014480	FBbt_00003874	
76494123993069189	720575940617026260	85712	55048	4216	85712.0	55048.0	4216.0	1852817.0	intrinsic	visual_projection				LC4				acetylcholine	0.5056471510028838	acetylcholine	Davis et al., 2020	left		fw014671	FBbt_00003874	
76494192712480278	720575940615127227	85184	56000	4171	85184.0	56000.0	4171.0	1852575.0	intrinsic	visual_projection				LC4				acetylcholine	0.6014447646261821	acetylcholine	Davis et al., 2020	left		fw015288	FBbt_00003874	
76917161025073223	720575940605598892	91488	67288	3935	91488.0	67288.0	3935.0	2121900.0	intrinsic	visual_projection				LC4				acetylcholine	0.541191619409766	acetylcholine	Davis et al., 2020	left		fw015565	FBbt_00003874	
82827516993489110	720575940620314221	177288	58632	3363	177288.0	58632.0	3363.0	7416371.0	intrinsic	visual_projection				LC4				acetylcholine	0.47864517713794236	acetylcholine	Davis et al., 2020	right		fw015658	FBbt_00003874	
82265322954059984	720575940621522458	169512	69856	3170	169512.0	69856.0	3170.0	7138259.0	intrinsic	visual_projection				LC4				acetylcholine	0.6142518036569962	acetylcholine	Davis et al., 2020	right		fw015673	FBbt_00003874	
82124516746505375	720575940612093351	167616	68440	3363	167616.0	68440.0	3363.0	7137995.0	intrinsic	visual_projection				LC4				acetylcholine	0.6966614137516078	acetylcholine	Davis et al., 2020	right		fw015847	FBbt_00003874	
76987461049760789	720575940612580977	92328	67040	3937	92328.0	67040.0	3937.0	2122420.0	intrinsic	visual_projection				LC4				acetylcholine	0.5394241131951015	acetylcholine	Davis et al., 2020	left		fw016046	FBbt_00003874	
82617029168999742	720575940618234704	174656	67760	2741	174656.0	67760.0	2741.0	7437802.0	intrinsic	visual_projection				LC4				acetylcholine	0.6116270482683244	acetylcholine	Davis et al., 2020	right		fw016082	FBbt_00003874	
82546454333714238	720575940624856762	173992	64128	3398	173992.0	64128.0	3398.0	7415989.0	intrinsic	visual_projection				LC4				acetylcholine	0.6500028351365872	acetylcholine	Davis et al., 2020	right		fw016252	FBbt_00003874	
